approach,n,m,time
FAD-ad trait-Rust,200,1,0.00469757118
RAD-ad trait-Rust,200,1,0.00011411941
FAD-SIMD-ad trait-Rust,200,1,0.00037814803
FAD-ad trait-Rust,250,1,0.00587972752
RAD-ad trait-Rust,250,1,0.0001205791
FAD-SIMD-ad trait-Rust,250,1,0.00044937978
FAD-ad trait-Rust,300,1,0.00747227271
RAD-ad trait-Rust,300,1,0.00012287041
FAD-SIMD-ad trait-Rust,300,1,0.0006831425
FAD-ad trait-Rust,350,1,0.0082111945
RAD-ad trait-Rust,350,1,0.00011751795
FAD-SIMD-ad trait-Rust,350,1,0.00064716738
FAD-ad trait-Rust,400,1,0.00978875506
RAD-ad trait-Rust,400,1,0.00012288225
FAD-SIMD-ad trait-Rust,400,1,0.00081903512
FAD-ad trait-Rust,450,1,0.01050037691
RAD-ad trait-Rust,450,1,0.00012299158
FAD-SIMD-ad trait-Rust,450,1,0.00079999161
FAD-ad trait-Rust,500,1,0.01209851102
RAD-ad trait-Rust,500,1,0.00012865621
FAD-SIMD-ad trait-Rust,500,1,0.00088806859
FAD-ad trait-Rust,550,1,0.01281660462
RAD-ad trait-Rust,550,1,0.00012097489
FAD-SIMD-ad trait-Rust,550,1,0.00094517721
FAD-ad trait-Rust,600,1,0.01445436839
RAD-ad trait-Rust,600,1,0.0001334769
FAD-SIMD-ad trait-Rust,600,1,0.00102848943
FAD-ad trait-Rust,650,1,0.01518292482
RAD-ad trait-Rust,650,1,0.00012273775
FAD-SIMD-ad trait-Rust,650,1,0.00110567141
FAD-ad trait-Rust,700,1,0.01631629028
RAD-ad trait-Rust,700,1,0.00012479998
FAD-SIMD-ad trait-Rust,700,1,0.00111462239
FAD-ad trait-Rust,750,1,0.01747818077
RAD-ad trait-Rust,750,1,0.00012580801
FAD-SIMD-ad trait-Rust,750,1,0.00112059523
FAD-ad trait-Rust,800,1,0.01878200018
RAD-ad trait-Rust,800,1,0.00012806471
